session,plant,date,bbch,cls,n_common_poses,pose,image_id_c1,relpath_c1,image_id_c2,relpath_c2,image_id_c3,relpath_c3,image_id_c4,relpath_c4
p012_20230921,12,20230921,79,4_S7,12,7,c1_p012_20230921_o07,data/data_4/pi1_01111_12_7_20230921150721.jpg,c2_p012_20230921_o07,data/data_4/pi2_01111_12_7_20230921150707.jpg,c3_p012_20230921_o07,data/data_4/pi3_01111_12_7_20230921150653.jpg,c4_p012_20230921_o07,data/data_4/pi4_01111_12_7_20230921150615.jpg
p012_20231005,12,20231005,82,5_S8,12,12,c1_p012_20231005_o12,data/data_8/pi1_02088_12_12_20231005094812.jpg,c2_p012_20231005_o12,data/data_8/pi2_02088_12_12_20231005094827.jpg,c3_p012_20231005_o12,data/data_8/pi3_02088_12_12_20231005094840.jpg,c4_p012_20231005_o12,data/data_8/pi4_02088_12_12_20231005094856.jpg
p013_20230816,13,20230816,59,2_S5,12,1,c1_p013_20230816_o01,data/data_0/pi1_00145_13_1_20230816154734.jpg,c2_p013_20230816_o01,data/data_0/pi2_00145_13_1_20230816154750.jpg,c3_p013_20230816_o01,data/data_0/pi3_00145_13_1_20230816154800.jpg,c4_p013_20230816_o01,data/data_0/pi4_00145_13_1_20230816154808.jpg
p013_20230921,13,20230921,75,4_S7,12,12,c1_p013_20230921_o12,data/data_4/pi1_01128_13_12_20230921150721.jpg,c2_p013_20230921_o12,data/data_4/pi2_01128_13_12_20230921150707.jpg,c3_p013_20230921_o12,data/data_4/pi3_01128_13_12_20230921150653.jpg,c4_p013_20230921_o12,data/data_4/pi4_01128_13_12_20230921150615.jpg
p013_20231005,13,20231005,88,5_S8,12,8,c1_p013_20231005_o08,data/data_8/pi1_02096_13_8_20231005094812.jpg,c2_p013_20231005_o08,data/data_8/pi2_02096_13_8_20231005094827.jpg,c3_p013_20231005_o08,data/data_8/pi3_02096_13_8_20231005094840.jpg,c4_p013_20231005_o08,data/data_8/pi4_02096_13_8_20231005094856.jpg
p014_20230816,14,20230816,69,3_S6,12,8,c1_p014_20230816_o08,data/data_0/pi1_00164_14_8_20230816154734.jpg,c2_p014_20230816_o08,data/data_0/pi2_00164_14_8_20230816154750.jpg,c3_p014_20230816_o08,data/data_0/pi3_00164_14_8_20230816154800.jpg,c4_p014_20230816_o08,data/data_0/pi4_00164_14_8_20230816154808.jpg
p014_20230921,14,20230921,76,4_S7,12,2,c1_p014_20230921_o02,data/data_4/pi1_01130_14_2_20230921150721.jpg,c2_p014_20230921_o02,data/data_4/pi2_01130_14_2_20230921150707.jpg,c3_p014_20230921_o02,data/data_4/pi3_01130_14_2_20230921150653.jpg,c4_p014_20230921_o02,data/data_4/pi4_01130_14_2_20230921150615.jpg
p014_20231005,14,20231005,79,4_S7,12,6,c1_p014_20231005_o06,data/data_8/pi1_02106_14_6_20231005094812.jpg,c2_p014_20231005_o06,data/data_8/pi2_02106_14_6_20231005094827.jpg,c3_p014_20231005_o06,data/data_8/pi3_02106_14_6_20231005094840.jpg,c4_p014_20231005_o06,data/data_8/pi4_02106_14_6_20231005094856.jpg
p015_20230816,15,20230816,66,3_S6,12,1,c1_p015_20230816_o01,data/data_0/pi1_00169_15_1_20230816154734.jpg,c2_p015_20230816_o01,data/data_0/pi2_00169_15_1_20230816154750.jpg,c3_p015_20230816_o01,data/data_0/pi3_00169_15_1_20230816154800.jpg,c4_p015_20230816_o01,data/data_0/pi4_00169_15_1_20230816154808.jpg
p015_20230921,15,20230921,73,4_S7,12,12,c1_p015_20230921_o12,data/data_4/pi1_01152_15_12_20230921150721.jpg,c2_p015_20230921_o12,data/data_4/pi2_01152_15_12_20230921150707.jpg,c3_p015_20230921_o12,data/data_4/pi3_01152_15_12_20230921150653.jpg,c4_p015_20230921_o12,data/data_4/pi4_01152_15_12_20230921150615.jpg
p015_20231005,15,20231005,77,4_S7,12,6,c1_p015_20231005_o06,data/data_8/pi1_02118_15_6_20231005094812.jpg,c2_p015_20231005_o06,data/data_8/pi2_02118_15_6_20231005094827.jpg,c3_p015_20231005_o06,data/data_8/pi3_02118_15_6_20231005094840.jpg,c4_p015_20231005_o06,data/data_8/pi4_02118_15_6_20231005094856.jpg
p016_20230816,16,20230816,70,4_S7,12,5,c1_p016_20230816_o05,data/data_0/pi1_00185_16_5_20230816154734.jpg,c2_p016_20230816_o05,data/data_0/pi2_00185_16_5_20230816154750.jpg,c3_p016_20230816_o05,data/data_0/pi3_00185_16_5_20230816154800.jpg,c4_p016_20230816_o05,data/data_0/pi4_00185_16_5_20230816154808.jpg
p016_20230921,16,20230921,75,4_S7,12,12,c1_p016_20230921_o12,data/data_4/pi1_01164_16_12_20230921150721.jpg,c2_p016_20230921_o12,data/data_4/pi2_01164_16_12_20230921150707.jpg,c3_p016_20230921_o12,data/data_4/pi3_01164_16_12_20230921150653.jpg,c4_p016_20230921_o12,data/data_4/pi4_01164_16_12_20230921150615.jpg
p016_20231005,16,20231005,77,4_S7,12,9,c1_p016_20231005_o09,data/data_8/pi1_02133_16_9_20231005094812.jpg,c2_p016_20231005_o09,data/data_8/pi2_02133_16_9_20231005094827.jpg,c3_p016_20231005_o09,data/data_8/pi3_02133_16_9_20231005094840.jpg,c4_p016_20231005_o09,data/data_8/pi4_02133_16_9_20231005094856.jpg
p017_20230816,17,20230816,71,4_S7,12,6,c1_p017_20230816_o06,data/data_0/pi1_00198_17_6_20230816154734.jpg,c2_p017_20230816_o06,data/data_0/pi2_00198_17_6_20230816154750.jpg,c3_p017_20230816_o06,data/data_0/pi3_00198_17_6_20230816154800.jpg,c4_p017_20230816_o06,data/data_0/pi4_00198_17_6_20230816154808.jpg
p017_20230921,17,20230921,74,4_S7,12,10,c1_p017_20230921_o10,data/data_4/pi1_01174_17_10_20230921150721.jpg,c2_p017_20230921_o10,data/data_4/pi2_01174_17_10_20230921150707.jpg,c3_p017_20230921_o10,data/data_4/pi3_01174_17_10_20230921150653.jpg,c4_p017_20230921_o10,data/data_4/pi4_01174_17_10_20230921150615.jpg
p017_20231005,17,20231005,72,4_S7,12,6,c1_p017_20231005_o06,data/data_8/pi1_02142_17_6_20231005094812.jpg,c2_p017_20231005_o06,data/data_8/pi2_02142_17_6_20231005094827.jpg,c3_p017_20231005_o06,data/data_8/pi3_02142_17_6_20231005094840.jpg,c4_p017_20231005_o06,data/data_8/pi4_02142_17_6_20231005094856.jpg
p018_20230816,18,20230816,68,3_S6,12,11,c1_p018_20230816_o11,data/data_0/pi1_00215_18_11_20230816154734.jpg,c2_p018_20230816_o11,data/data_0/pi2_00215_18_11_20230816154750.jpg,c3_p018_20230816_o11,data/data_0/pi3_00215_18_11_20230816154800.jpg,c4_p018_20230816_o11,data/data_0/pi4_00215_18_11_20230816154808.jpg
p018_20230921,18,20230921,78,4_S7,12,10,c1_p018_20230921_o10,data/data_4/pi1_01186_18_10_20230921150721.jpg,c2_p018_20230921_o10,data/data_4/pi2_01186_18_10_20230921150707.jpg,c3_p018_20230921_o10,data/data_4/pi3_01186_18_10_20230921150653.jpg,c4_p018_20230921_o10,data/data_4/pi4_01186_18_10_20230921150615.jpg
p018_20231005,18,20231005,89,5_S8,12,5,c1_p018_20231005_o05,data/data_8/pi1_02153_18_5_20231005094812.jpg,c2_p018_20231005_o05,data/data_8/pi2_02153_18_5_20231005094827.jpg,c3_p018_20231005_o05,data/data_8/pi3_02153_18_5_20231005094840.jpg,c4_p018_20231005_o05,data/data_8/pi4_02153_18_5_20231005094856.jpg
p019_20230816,19,20230816,70,4_S7,12,3,c1_p019_20230816_o03,data/data_0/pi1_00219_19_3_20230816154734.jpg,c2_p019_20230816_o03,data/data_0/pi2_00219_19_3_20230816154750.jpg,c3_p019_20230816_o03,data/data_0/pi3_00219_19_3_20230816154800.jpg,c4_p019_20230816_o03,data/data_0/pi4_00219_19_3_20230816154808.jpg
p019_20230921,19,20230921,78,4_S7,12,1,c1_p019_20230921_o01,data/data_4/pi1_01189_19_1_20230921150721.jpg,c2_p019_20230921_o01,data/data_4/pi2_01189_19_1_20230921150707.jpg,c3_p019_20230921_o01,data/data_4/pi3_01189_19_1_20230921150653.jpg,c4_p019_20230921_o01,data/data_4/pi4_01189_19_1_20230921150615.jpg
p019_20231005,19,20231005,85,5_S8,12,7,c1_p019_20231005_o07,data/data_8/pi1_02167_19_7_20231005094812.jpg,c2_p019_20231005_o07,data/data_8/pi2_02167_19_7_20231005094827.jpg,c3_p019_20231005_o07,data/data_8/pi3_02167_19_7_20231005094840.jpg,c4_p019_20231005_o07,data/data_8/pi4_02167_19_7_20231005094856.jpg
p020_20230816,20,20230816,70,4_S7,12,3,c1_p020_20230816_o03,data/data_0/pi1_00231_20_3_20230816154734.jpg,c2_p020_20230816_o03,data/data_0/pi2_00231_20_3_20230816154750.jpg,c3_p020_20230816_o03,data/data_0/pi3_00231_20_3_20230816154800.jpg,c4_p020_20230816_o03,data/data_0/pi4_00231_20_3_20230816154808.jpg
p020_20230921,20,20230921,72,4_S7,12,1,c1_p020_20230921_o01,data/data_4/pi1_01201_20_1_20230921150721.jpg,c2_p020_20230921_o01,data/data_4/pi2_01201_20_1_20230921150707.jpg,c3_p020_20230921_o01,data/data_4/pi3_01201_20_1_20230921150653.jpg,c4_p020_20230921_o01,data/data_4/pi4_01201_20_1_20230921150615.jpg
p020_20231005,20,20231005,78,4_S7,12,10,c1_p020_20231005_o10,data/data_8/pi1_02182_20_10_20231005094812.jpg,c2_p020_20231005_o10,data/data_8/pi2_02182_20_10_20231005094827.jpg,c3_p020_20231005_o10,data/data_8/pi3_02182_20_10_20231005094840.jpg,c4_p020_20231005_o10,data/data_8/pi4_02182_20_10_20231005094856.jpg
p021_20230816,21,20230816,64,3_S6,12,3,c1_p021_20230816_o03,data/data_0/pi1_00243_21_3_20230816154734.jpg,c2_p021_20230816_o03,data/data_0/pi2_00243_21_3_20230816154750.jpg,c3_p021_20230816_o03,data/data_0/pi3_00243_21_3_20230816154800.jpg,c4_p021_20230816_o03,data/data_0/pi4_00243_21_3_20230816154808.jpg
p021_20230921,21,20230921,83,5_S8,12,5,c1_p021_20230921_o05,data/data_4/pi1_01217_21_5_20230921150721.jpg,c2_p021_20230921_o05,data/data_4/pi2_01217_21_5_20230921150707.jpg,c3_p021_20230921_o05,data/data_4/pi3_01217_21_5_20230921150653.jpg,c4_p021_20230921_o05,data/data_4/pi4_01217_21_5_20230921150615.jpg
p021_20231005,21,20231005,83,5_S8,12,6,c1_p021_20231005_o06,data/data_8/pi1_02190_21_6_20231005094812.jpg,c2_p021_20231005_o06,data/data_8/pi2_02190_21_6_20231005094827.jpg,c3_p021_20231005_o06,data/data_8/pi3_02190_21_6_20231005094840.jpg,c4_p021_20231005_o06,data/data_8/pi4_02190_21_6_20231005094856.jpg
p022_20230828,22,20230828,19,0_S1,12,11,c1_p022_20230828_o11,data/data_1/pi1_00263_22_11_20230828154247.jpg,c2_p022_20230828_o11,data/data_1/pi2_00263_22_11_20230828154311.jpg,c3_p022_20230828_o11,data/data_1/pi3_00263_22_11_20230828154326.jpg,c4_p022_20230828_o11,data/data_1/pi4_00263_22_11_20230828154341.jpg
p022_20230904,22,20230904,53,2_S5,12,1,c1_p022_20230904_o01,data/data_1/pi1_00493_22_1_20230904095544.jpg,c2_p022_20230904_o01,data/data_1/pi2_00493_22_1_20230904095610.jpg,c3_p022_20230904_o01,data/data_1/pi3_00493_22_1_20230904095624.jpg,c4_p022_20230904_o01,data/data_1/pi4_00493_22_1_20230904095637.jpg
p022_20230908,22,20230908,63,3_S6,12,3,c1_p022_20230908_o03,data/data_2/pi1_00735_22_3_20230908154600.jpg,c2_p022_20230908_o03,data/data_2/pi2_00735_22_3_20230908154627.jpg,c3_p022_20230908_o03,data/data_2/pi3_00735_22_3_20230908154644.jpg,c4_p022_20230908_o03,data/data_2/pi4_00735_22_3_20230908155322.jpg
p022_20230921,22,20230921,70,4_S7,12,11,c1_p022_20230921_o11,data/data_4/pi1_01235_22_11_20230921150721.jpg,c2_p022_20230921_o11,data/data_4/pi2_01235_22_11_20230921150707.jpg,c3_p022_20230921_o11,data/data_4/pi3_01235_22_11_20230921150653.jpg,c4_p022_20230921_o11,data/data_4/pi4_01235_22_11_20230921150615.jpg
p022_20231006,22,20231006,72,4_S7,12,6,c1_p022_20231006_o06,data/data_8/pi1_02202_22_6_20231006114010.jpg,c2_p022_20231006_o06,data/data_8/pi2_02202_22_6_20231006113958.jpg,c3_p022_20231006_o06,data/data_8/pi3_02202_22_6_20231006113943.jpg,c4_p022_20231006_o06,data/data_8/pi4_02202_22_6_20231006113924.jpg
p022_20231017,22,20231017,75,4_S7,12,3,c1_p022_20231017_o03,data/data_12/pi1_03159_22_3_20231017131625.jpg,c2_p022_20231017_o03,data/data_12/pi2_03159_22_3_20231017131625.jpg,c3_p022_20231017_o03,data/data_12/pi3_03159_22_3_20231017131626.jpg,c4_p022_20231017_o03,data/data_12/pi4_03159_22_3_20231017131625.jpg
p022_20231023,22,20231023,77,4_S7,12,2,c1_p022_20231023_o02,data/data_17/pi1_04358_22_2_20231023095511.jpg,c2_p022_20231023_o02,data/data_17/pi2_04358_22_2_20231023095512.jpg,c3_p022_20231023_o02,data/data_17/pi3_04358_22_2_20231023095512.jpg,c4_p022_20231023_o02,data/data_17/pi4_04358_22_2_20231023095512.jpg
p022_20231027,22,20231027,78,4_S7,12,12,c1_p022_20231027_o12,data/data_20/pi1_05088_22_12_20231027103947.jpg,c2_p022_20231027_o12,data/data_20/pi2_05088_22_12_20231027103947.jpg,c3_p022_20231027_o12,data/data_20/pi3_05088_22_12_20231027103948.jpg,c4_p022_20231027_o12,data/data_20/pi4_05088_22_12_20231027103948.jpg
p022_20231101,22,20231101,79,4_S7,12,10,c1_p022_20231101_o10,data/data_23/pi1_05806_22_10_20231101091452.jpg,c2_p022_20231101_o10,data/data_23/pi2_05806_22_10_20231101091453.jpg,c3_p022_20231101_o10,data/data_23/pi3_05806_22_10_20231101091453.jpg,c4_p022_20231101_o10,data/data_23/pi4_05806_22_10_20231101091453.jpg
p022_20231106,22,20231106,80,5_S8,12,7,c1_p022_20231106_o07,data/data_26/pi1_06523_22_7_20231106094159.jpg,c2_p022_20231106_o07,data/data_26/pi2_06523_22_7_20231106094159.jpg,c3_p022_20231106_o07,data/data_26/pi3_06523_22_7_20231106094200.jpg,c4_p022_20231106_o07,data/data_26/pi4_06523_22_7_20231106094201.jpg
p022_20231109,22,20231109,80,5_S8,12,10,c1_p022_20231109_o10,data/data_28/pi1_07246_22_10_20231109084616.jpg,c2_p022_20231109_o10,data/data_28/pi2_07246_22_10_20231109084615.jpg,c3_p022_20231109_o10,data/data_28/pi3_07246_22_10_20231109084617.jpg,c4_p022_20231109_o10,data/data_28/pi4_07246_22_10_20231109084617.jpg
p022_20231120,22,20231120,84,5_S8,12,3,c1_p022_20231120_o03,data/data_31/pi1_07959_22_3_20231120131829.jpg,c2_p022_20231120_o03,data/data_31/pi2_07959_22_3_20231120131829.jpg,c3_p022_20231120_o03,data/data_31/pi3_07959_22_3_20231120131830.jpg,c4_p022_20231120_o03,data/data_31/pi4_07959_22_3_20231120131829.jpg
