image_id,relpath,camera,session,plant,date,pose,bbch,cls
c1_p002_20230921_o04,data/data_3/pi1_00988_2_4_20230921150721.jpg,1,p002_20230921,2,20230921,4,77,4_S7
c2_p002_20230921_o04,data/data_3/pi2_00988_2_4_20230921150707.jpg,2,p002_20230921,2,20230921,4,77,4_S7
c3_p002_20230921_o04,data/data_3/pi3_00988_2_4_20230921150653.jpg,3,p002_20230921,2,20230921,4,77,4_S7
c4_p002_20230921_o04,data/data_3/pi4_00988_2_4_20230921150615.jpg,4,p002_20230921,2,20230921,4,77,4_S7
c1_p002_20231005_o12,data/data_7/pi1_01968_2_12_20231005094812.jpg,1,p002_20231005,2,20231005,12,79,4_S7
c2_p002_20231005_o12,data/data_7/pi2_01968_2_12_20231005094827.jpg,2,p002_20231005,2,20231005,12,79,4_S7
c3_p002_20231005_o12,data/data_7/pi3_01968_2_12_20231005094840.jpg,3,p002_20231005,2,20231005,12,79,4_S7
c4_p002_20231005_o12,data/data_7/pi4_01968_2_12_20231005094856.jpg,4,p002_20231005,2,20231005,12,79,4_S7
c1_p003_20230816_o02,data/data_0/pi1_00026_3_2_20230816154734.jpg,1,p003_20230816,3,20230816,2,64,3_S6
c2_p003_20230816_o02,data/data_0/pi2_00026_3_2_20230816154750.jpg,2,p003_20230816,3,20230816,2,64,3_S6
c3_p003_20230816_o02,data/data_0/pi3_00026_3_2_20230816154800.jpg,3,p003_20230816,3,20230816,2,64,3_S6
c4_p003_20230816_o02,data/data_0/pi4_00026_3_2_20230816154808.jpg,4,p003_20230816,3,20230816,2,64,3_S6
c1_p003_20230921_o08,data/data_4/pi1_01004_3_8_20230921150721.jpg,1,p003_20230921,3,20230921,8,77,4_S7
c2_p003_20230921_o08,data/data_4/pi2_01004_3_8_20230921150707.jpg,2,p003_20230921,3,20230921,8,77,4_S7
c3_p003_20230921_o08,data/data_4/pi3_01004_3_8_20230921150653.jpg,3,p003_20230921,3,20230921,8,77,4_S7
c4_p003_20230921_o08,data/data_4/pi4_01004_3_8_20230921150615.jpg,4,p003_20230921,3,20230921,8,77,4_S7
c1_p003_20231005_o08,data/data_7/pi1_01976_3_8_20231005094812.jpg,1,p003_20231005,3,20231005,8,79,4_S7
c2_p003_20231005_o08,data/data_7/pi2_01976_3_8_20231005094827.jpg,2,p003_20231005,3,20231005,8,79,4_S7
c3_p003_20231005_o08,data/data_7/pi3_01976_3_8_20231005094840.jpg,3,p003_20231005,3,20231005,8,79,4_S7
c4_p003_20231005_o08,data/data_7/pi4_01976_3_8_20231005094856.jpg,4,p003_20231005,3,20231005,8,79,4_S7
c1_p004_20230816_o11,data/data_0/pi1_00047_4_11_20230816154734.jpg,1,p004_20230816,4,20230816,11,61,3_S6
c2_p004_20230816_o11,data/data_0/pi2_00047_4_11_20230816154750.jpg,2,p004_20230816,4,20230816,11,61,3_S6
c3_p004_20230816_o11,data/data_0/pi3_00047_4_11_20230816154800.jpg,3,p004_20230816,4,20230816,11,61,3_S6
c4_p004_20230816_o11,data/data_0/pi4_00047_4_11_20230816154808.jpg,4,p004_20230816,4,20230816,11,61,3_S6
c1_p004_20230921_o02,data/data_4/pi1_01010_4_2_20230921150721.jpg,1,p004_20230921,4,20230921,2,79,4_S7
c2_p004_20230921_o02,data/data_4/pi2_01010_4_2_20230921150707.jpg,2,p004_20230921,4,20230921,2,79,4_S7
c3_p004_20230921_o02,data/data_4/pi3_01010_4_2_20230921150653.jpg,3,p004_20230921,4,20230921,2,79,4_S7
c4_p004_20230921_o02,data/data_4/pi4_01010_4_2_20230921150615.jpg,4,p004_20230921,4,20230921,2,79,4_S7
c1_p004_20231005_o12,data/data_7/pi1_01992_4_12_20231005094812.jpg,1,p004_20231005,4,20231005,12,82,5_S8
c2_p004_20231005_o12,data/data_7/pi2_01992_4_12_20231005094827.jpg,2,p004_20231005,4,20231005,12,82,5_S8
c3_p004_20231005_o12,data/data_7/pi3_01992_4_12_20231005094840.jpg,3,p004_20231005,4,20231005,12,82,5_S8
c4_p004_20231005_o12,data/data_7/pi4_01992_4_12_20231005094856.jpg,4,p004_20231005,4,20231005,12,82,5_S8
c1_p005_20230816_o02,data/data_0/pi1_00050_5_2_20230816154734.jpg,1,p005_20230816,5,20230816,2,65,3_S6
c2_p005_20230816_o02,data/data_0/pi2_00050_5_2_20230816154750.jpg,2,p005_20230816,5,20230816,2,65,3_S6
c3_p005_20230816_o02,data/data_0/pi3_00050_5_2_20230816154800.jpg,3,p005_20230816,5,20230816,2,65,3_S6
c4_p005_20230816_o02,data/data_0/pi4_00050_5_2_20230816154808.jpg,4,p005_20230816,5,20230816,2,65,3_S6
c1_p005_20230921_o07,data/data_4/pi1_01027_5_7_20230921150721.jpg,1,p005_20230921,5,20230921,7,77,4_S7
c2_p005_20230921_o07,data/data_4/pi2_01027_5_7_20230921150707.jpg,2,p005_20230921,5,20230921,7,77,4_S7
c3_p005_20230921_o07,data/data_4/pi3_01027_5_7_20230921150653.jpg,3,p005_20230921,5,20230921,7,77,4_S7
c4_p005_20230921_o07,data/data_4/pi4_01027_5_7_20230921150615.jpg,4,p005_20230921,5,20230921,7,77,4_S7
c1_p005_20231005_o09,data/data_8/pi1_02001_5_9_20231005094812.jpg,1,p005_20231005,5,20231005,9,79,4_S7
c2_p005_20231005_o09,data/data_8/pi2_02001_5_9_20231005094827.jpg,2,p005_20231005,5,20231005,9,79,4_S7
c3_p005_20231005_o09,data/data_8/pi3_02001_5_9_20231005094840.jpg,3,p005_20231005,5,20231005,9,79,4_S7
c4_p005_20231005_o09,data/data_8/pi4_02001_5_9_20231005094856.jpg,4,p005_20231005,5,20231005,9,79,4_S7
c1_p006_20230816_o04,data/data_0/pi1_00064_6_4_20230816154734.jpg,1,p006_20230816,6,20230816,4,65,3_S6
c2_p006_20230816_o04,data/data_0/pi2_00064_6_4_20230816154750.jpg,2,p006_20230816,6,20230816,4,65,3_S6
c3_p006_20230816_o04,data/data_0/pi3_00064_6_4_20230816154800.jpg,3,p006_20230816,6,20230816,4,65,3_S6
c4_p006_20230816_o04,data/data_0/pi4_00064_6_4_20230816154808.jpg,4,p006_20230816,6,20230816,4,65,3_S6
c1_p006_20230921_o02,data/data_4/pi1_01034_6_2_20230921150721.jpg,1,p006_20230921,6,20230921,2,78,4_S7
c2_p006_20230921_o02,data/data_4/pi2_01034_6_2_20230921150707.jpg,2,p006_20230921,6,20230921,2,78,4_S7
c3_p006_20230921_o02,data/data_4/pi3_01034_6_2_20230921150653.jpg,3,p006_20230921,6,20230921,2,78,4_S7
c4_p006_20230921_o02,data/data_4/pi4_01034_6_2_20230921150615.jpg,4,p006_20230921,6,20230921,2,78,4_S7
c1_p006_20231005_o07,data/data_8/pi1_02011_6_7_20231005094812.jpg,1,p006_20231005,6,20231005,7,79,4_S7
c2_p006_20231005_o07,data/data_8/pi2_02011_6_7_20231005094827.jpg,2,p006_20231005,6,20231005,7,79,4_S7
c3_p006_20231005_o07,data/data_8/pi3_02011_6_7_20231005094840.jpg,3,p006_20231005,6,20231005,7,79,4_S7
c4_p006_20231005_o07,data/data_8/pi4_02011_6_7_20231005094856.jpg,4,p006_20231005,6,20231005,7,79,4_S7
c1_p007_20230816_o09,data/data_0/pi1_00081_7_9_20230816154734.jpg,1,p007_20230816,7,20230816,9,67,3_S6
c2_p007_20230816_o09,data/data_0/pi2_00081_7_9_20230816154750.jpg,2,p007_20230816,7,20230816,9,67,3_S6
c3_p007_20230816_o09,data/data_0/pi3_00081_7_9_20230816154800.jpg,3,p007_20230816,7,20230816,9,67,3_S6
c4_p007_20230816_o09,data/data_0/pi4_00081_7_9_20230816154808.jpg,4,p007_20230816,7,20230816,9,67,3_S6
c1_p007_20230921_o04,data/data_4/pi1_01048_7_4_20230921150721.jpg,1,p007_20230921,7,20230921,4,80,5_S8
c2_p007_20230921_o04,data/data_4/pi2_01048_7_4_20230921150707.jpg,2,p007_20230921,7,20230921,4,80,5_S8
c3_p007_20230921_o04,data/data_4/pi3_01048_7_4_20230921150653.jpg,3,p007_20230921,7,20230921,4,80,5_S8
c4_p007_20230921_o04,data/data_4/pi4_01048_7_4_20230921150615.jpg,4,p007_20230921,7,20230921,4,80,5_S8
c1_p007_20231005_o11,data/data_8/pi1_02027_7_11_20231005094812.jpg,1,p007_20231005,7,20231005,11,83,5_S8
c2_p007_20231005_o11,data/data_8/pi2_02027_7_11_20231005094827.jpg,2,p007_20231005,7,20231005,11,83,5_S8
c3_p007_20231005_o11,data/data_8/pi3_02027_7_11_20231005094840.jpg,3,p007_20231005,7,20231005,11,83,5_S8
c4_p007_20231005_o11,data/data_8/pi4_02027_7_11_20231005094856.jpg,4,p007_20231005,7,20231005,11,83,5_S8
c1_p008_20230816_o06,data/data_0/pi1_00090_8_6_20230816154734.jpg,1,p008_20230816,8,20230816,6,63,3_S6
c2_p008_20230816_o06,data/data_0/pi2_00090_8_6_20230816154750.jpg,2,p008_20230816,8,20230816,6,63,3_S6
c3_p008_20230816_o06,data/data_0/pi3_00090_8_6_20230816154800.jpg,3,p008_20230816,8,20230816,6,63,3_S6
c4_p008_20230816_o06,data/data_0/pi4_00090_8_6_20230816154808.jpg,4,p008_20230816,8,20230816,6,63,3_S6
c1_p008_20230921_o03,data/data_4/pi1_01059_8_3_20230921150721.jpg,1,p008_20230921,8,20230921,3,73,4_S7
c2_p008_20230921_o03,data/data_4/pi2_01059_8_3_20230921150707.jpg,2,p008_20230921,8,20230921,3,73,4_S7
c3_p008_20230921_o03,data/data_4/pi3_01059_8_3_20230921150653.jpg,3,p008_20230921,8,20230921,3,73,4_S7
c4_p008_20230921_o03,data/data_4/pi4_01059_8_3_20230921150615.jpg,4,p008_20230921,8,20230921,3,73,4_S7
c1_p008_20231005_o11,data/data_8/pi1_02039_8_11_20231005094812.jpg,1,p008_20231005,8,20231005,11,76,4_S7
c2_p008_20231005_o11,data/data_8/pi2_02039_8_11_20231005094827.jpg,2,p008_20231005,8,20231005,11,76,4_S7
c3_p008_20231005_o11,data/data_8/pi3_02039_8_11_20231005094840.jpg,3,p008_20231005,8,20231005,11,76,4_S7
c4_p008_20231005_o11,data/data_8/pi4_02039_8_11_20231005094856.jpg,4,p008_20231005,8,20231005,11,76,4_S7
c1_p009_20230816_o11,data/data_0/pi1_00107_9_11_20230816154734.jpg,1,p009_20230816,9,20230816,11,64,3_S6
c2_p009_20230816_o11,data/data_0/pi2_00107_9_11_20230816154750.jpg,2,p009_20230816,9,20230816,11,64,3_S6
c3_p009_20230816_o11,data/data_0/pi3_00107_9_11_20230816154800.jpg,3,p009_20230816,9,20230816,11,64,3_S6
c4_p009_20230816_o11,data/data_0/pi4_00107_9_11_20230816154808.jpg,4,p009_20230816,9,20230816,11,64,3_S6
c1_p009_20230921_o10,data/data_4/pi1_01078_9_10_20230921150721.jpg,1,p009_20230921,9,20230921,10,75,4_S7
c2_p009_20230921_o10,data/data_4/pi2_01078_9_10_20230921150707.jpg,2,p009_20230921,9,20230921,10,75,4_S7
c3_p009_20230921_o10,data/data_4/pi3_01078_9_10_20230921150653.jpg,3,p009_20230921,9,20230921,10,75,4_S7
c4_p009_20230921_o10,data/data_4/pi4_01078_9_10_20230921150615.jpg,4,p009_20230921,9,20230921,10,75,4_S7
c1_p009_20231005_o01,data/data_8/pi1_02041_9_1_20231005094812.jpg,1,p009_20231005,9,20231005,1,84,5_S8
c2_p009_20231005_o01,data/data_8/pi2_02041_9_1_20231005094827.jpg,2,p009_20231005,9,20231005,1,84,5_S8
c3_p009_20231005_o01,data/data_8/pi3_02041_9_1_20231005094840.jpg,3,p009_20231005,9,20231005,1,84,5_S8
c4_p009_20231005_o01,data/data_8/pi4_02041_9_1_20231005094856.jpg,4,p009_20231005,9,20231005,1,84,5_S8
c1_p010_20230816_o07,data/data_0/pi1_00115_10_7_20230816154734.jpg,1,p010_20230816,10,20230816,7,64,3_S6
c2_p010_20230816_o07,data/data_0/pi2_00115_10_7_20230816154750.jpg,2,p010_20230816,10,20230816,7,64,3_S6
c3_p010_20230816_o07,data/data_0/pi3_00115_10_7_20230816154800.jpg,3,p010_20230816,10,20230816,7,64,3_S6
c4_p010_20230816_o07,data/data_0/pi4_00115_10_7_20230816154808.jpg,4,p010_20230816,10,20230816,7,64,3_S6
c1_p010_20230921_o05,data/data_4/pi1_01085_10_5_20230921150721.jpg,1,p010_20230921,10,20230921,5,72,4_S7
c2_p010_20230921_o05,data/data_4/pi2_01085_10_5_20230921150707.jpg,2,p010_20230921,10,20230921,5,72,4_S7
c3_p010_20230921_o05,data/data_4/pi3_01085_10_5_20230921150653.jpg,3,p010_20230921,10,20230921,5,72,4_S7
c4_p010_20230921_o05,data/data_4/pi4_01085_10_5_20230921150615.jpg,4,p010_20230921,10,20230921,5,72,4_S7
c1_p010_20231005_o03,data/data_8/pi1_02055_10_3_20231005094812.jpg,1,p010_20231005,10,20231005,3,85,5_S8
c2_p010_20231005_o03,data/data_8/pi2_02055_10_3_20231005094827.jpg,2,p010_20231005,10,20231005,3,85,5_S8
c3_p010_20231005_o03,data/data_8/pi3_02055_10_3_20231005094840.jpg,3,p010_20231005,10,20231005,3,85,5_S8
c4_p010_20231005_o03,data/data_8/pi4_02055_10_3_20231005094856.jpg,4,p010_20231005,10,20231005,3,85,5_S8
c1_p011_20230816_o10,data/data_0/pi1_00130_11_10_20230816154734.jpg,1,p011_20230816,11,20230816,10,27,1_S2
c2_p011_20230816_o10,data/data_0/pi2_00130_11_10_20230816154750.jpg,2,p011_20230816,11,20230816,10,27,1_S2
c3_p011_20230816_o10,data/data_0/pi3_00130_11_10_20230816154800.jpg,3,p011_20230816,11,20230816,10,27,1_S2
c4_p011_20230816_o10,data/data_0/pi4_00130_11_10_20230816154808.jpg,4,p011_20230816,11,20230816,10,27,1_S2
c1_p011_20230921_o03,data/data_4/pi1_01095_11_3_20230921150721.jpg,1,p011_20230921,11,20230921,3,51,2_S5
c2_p011_20230921_o03,data/data_4/pi2_01095_11_3_20230921150707.jpg,2,p011_20230921,11,20230921,3,51,2_S5
c3_p011_20230921_o03,data/data_4/pi3_01095_11_3_20230921150653.jpg,3,p011_20230921,11,20230921,3,51,2_S5
c4_p011_20230921_o03,data/data_4/pi4_01095_11_3_20230921150615.jpg,4,p011_20230921,11,20230921,3,51,2_S5
c1_p011_20231005_o04,data/data_8/pi1_02068_11_4_20231005094812.jpg,1,p011_20231005,11,20231005,4,52,2_S5
c2_p011_20231005_o04,data/data_8/pi2_02068_11_4_20231005094827.jpg,2,p011_20231005,11,20231005,4,52,2_S5
c3_p011_20231005_o04,data/data_8/pi3_02068_11_4_20231005094840.jpg,3,p011_20231005,11,20231005,4,52,2_S5
c4_p011_20231005_o04,data/data_8/pi4_02068_11_4_20231005094856.jpg,4,p011_20231005,11,20231005,4,52,2_S5
c1_p012_20230816_o02,data/data_0/pi1_00134_12_2_20230816154734.jpg,1,p012_20230816,12,20230816,2,65,3_S6
c2_p012_20230816_o02,data/data_0/pi2_00134_12_2_20230816154750.jpg,2,p012_20230816,12,20230816,2,65,3_S6
c3_p012_20230816_o02,data/data_0/pi3_00134_12_2_20230816154800.jpg,3,p012_20230816,12,20230816,2,65,3_S6
c4_p012_20230816_o02,data/data_0/pi4_00134_12_2_20230816154808.jpg,4,p012_20230816,12,20230816,2,65,3_S6
c1_p012_20230921_o07,data/data_4/pi1_01111_12_7_20230921150721.jpg,1,p012_20230921,12,20230921,7,79,4_S7
c2_p012_20230921_o07,data/data_4/pi2_01111_12_7_20230921150707.jpg,2,p012_20230921,12,20230921,7,79,4_S7
c3_p012_20230921_o07,data/data_4/pi3_01111_12_7_20230921150653.jpg,3,p012_20230921,12,20230921,7,79,4_S7
c4_p012_20230921_o07,data/data_4/pi4_01111_12_7_20230921150615.jpg,4,p012_20230921,12,20230921,7,79,4_S7
c1_p012_20231005_o12,data/data_8/pi1_02088_12_12_20231005094812.jpg,1,p012_20231005,12,20231005,12,82,5_S8
c2_p012_20231005_o12,data/data_8/pi2_02088_12_12_20231005094827.jpg,2,p012_20231005,12,20231005,12,82,5_S8
c3_p012_20231005_o12,data/data_8/pi3_02088_12_12_20231005094840.jpg,3,p012_20231005,12,20231005,12,82,5_S8
c4_p012_20231005_o12,data/data_8/pi4_02088_12_12_20231005094856.jpg,4,p012_20231005,12,20231005,12,82,5_S8
c1_p013_20230816_o01,data/data_0/pi1_00145_13_1_20230816154734.jpg,1,p013_20230816,13,20230816,1,59,2_S5
c2_p013_20230816_o01,data/data_0/pi2_00145_13_1_20230816154750.jpg,2,p013_20230816,13,20230816,1,59,2_S5
c3_p013_20230816_o01,data/data_0/pi3_00145_13_1_20230816154800.jpg,3,p013_20230816,13,20230816,1,59,2_S5
c4_p013_20230816_o01,data/data_0/pi4_00145_13_1_20230816154808.jpg,4,p013_20230816,13,20230816,1,59,2_S5
c1_p013_20230921_o12,data/data_4/pi1_01128_13_12_20230921150721.jpg,1,p013_20230921,13,20230921,12,75,4_S7
c2_p013_20230921_o12,data/data_4/pi2_01128_13_12_20230921150707.jpg,2,p013_20230921,13,20230921,12,75,4_S7
c3_p013_20230921_o12,data/data_4/pi3_01128_13_12_20230921150653.jpg,3,p013_20230921,13,20230921,12,75,4_S7
c4_p013_20230921_o12,data/data_4/pi4_01128_13_12_20230921150615.jpg,4,p013_20230921,13,20230921,12,75,4_S7
c1_p013_20231005_o08,data/data_8/pi1_02096_13_8_20231005094812.jpg,1,p013_20231005,13,20231005,8,88,5_S8
c2_p013_20231005_o08,data/data_8/pi2_02096_13_8_20231005094827.jpg,2,p013_20231005,13,20231005,8,88,5_S8
c3_p013_20231005_o08,data/data_8/pi3_02096_13_8_20231005094840.jpg,3,p013_20231005,13,20231005,8,88,5_S8
c4_p013_20231005_o08,data/data_8/pi4_02096_13_8_20231005094856.jpg,4,p013_20231005,13,20231005,8,88,5_S8
c1_p014_20230816_o08,data/data_0/pi1_00164_14_8_20230816154734.jpg,1,p014_20230816,14,20230816,8,69,3_S6
c2_p014_20230816_o08,data/data_0/pi2_00164_14_8_20230816154750.jpg,2,p014_20230816,14,20230816,8,69,3_S6
c3_p014_20230816_o08,data/data_0/pi3_00164_14_8_20230816154800.jpg,3,p014_20230816,14,20230816,8,69,3_S6
c4_p014_20230816_o08,data/data_0/pi4_00164_14_8_20230816154808.jpg,4,p014_20230816,14,20230816,8,69,3_S6
c1_p014_20230921_o02,data/data_4/pi1_01130_14_2_20230921150721.jpg,1,p014_20230921,14,20230921,2,76,4_S7
c2_p014_20230921_o02,data/data_4/pi2_01130_14_2_20230921150707.jpg,2,p014_20230921,14,20230921,2,76,4_S7
c3_p014_20230921_o02,data/data_4/pi3_01130_14_2_20230921150653.jpg,3,p014_20230921,14,20230921,2,76,4_S7
c4_p014_20230921_o02,data/data_4/pi4_01130_14_2_20230921150615.jpg,4,p014_20230921,14,20230921,2,76,4_S7
c1_p014_20231005_o06,data/data_8/pi1_02106_14_6_20231005094812.jpg,1,p014_20231005,14,20231005,6,79,4_S7
c2_p014_20231005_o06,data/data_8/pi2_02106_14_6_20231005094827.jpg,2,p014_20231005,14,20231005,6,79,4_S7
c3_p014_20231005_o06,data/data_8/pi3_02106_14_6_20231005094840.jpg,3,p014_20231005,14,20231005,6,79,4_S7
c4_p014_20231005_o06,data/data_8/pi4_02106_14_6_20231005094856.jpg,4,p014_20231005,14,20231005,6,79,4_S7
c1_p015_20230816_o01,data/data_0/pi1_00169_15_1_20230816154734.jpg,1,p015_20230816,15,20230816,1,66,3_S6
c2_p015_20230816_o01,data/data_0/pi2_00169_15_1_20230816154750.jpg,2,p015_20230816,15,20230816,1,66,3_S6
c3_p015_20230816_o01,data/data_0/pi3_00169_15_1_20230816154800.jpg,3,p015_20230816,15,20230816,1,66,3_S6
c4_p015_20230816_o01,data/data_0/pi4_00169_15_1_20230816154808.jpg,4,p015_20230816,15,20230816,1,66,3_S6
c1_p015_20230921_o12,data/data_4/pi1_01152_15_12_20230921150721.jpg,1,p015_20230921,15,20230921,12,73,4_S7
c2_p015_20230921_o12,data/data_4/pi2_01152_15_12_20230921150707.jpg,2,p015_20230921,15,20230921,12,73,4_S7
c3_p015_20230921_o12,data/data_4/pi3_01152_15_12_20230921150653.jpg,3,p015_20230921,15,20230921,12,73,4_S7
c4_p015_20230921_o12,data/data_4/pi4_01152_15_12_20230921150615.jpg,4,p015_20230921,15,20230921,12,73,4_S7
c1_p015_20231005_o06,data/data_8/pi1_02118_15_6_20231005094812.jpg,1,p015_20231005,15,20231005,6,77,4_S7
c2_p015_20231005_o06,data/data_8/pi2_02118_15_6_20231005094827.jpg,2,p015_20231005,15,20231005,6,77,4_S7
c3_p015_20231005_o06,data/data_8/pi3_02118_15_6_20231005094840.jpg,3,p015_20231005,15,20231005,6,77,4_S7
c4_p015_20231005_o06,data/data_8/pi4_02118_15_6_20231005094856.jpg,4,p015_20231005,15,20231005,6,77,4_S7
c1_p016_20230816_o05,data/data_0/pi1_00185_16_5_20230816154734.jpg,1,p016_20230816,16,20230816,5,70,4_S7
c2_p016_20230816_o05,data/data_0/pi2_00185_16_5_20230816154750.jpg,2,p016_20230816,16,20230816,5,70,4_S7
c3_p016_20230816_o05,data/data_0/pi3_00185_16_5_20230816154800.jpg,3,p016_20230816,16,20230816,5,70,4_S7
c4_p016_20230816_o05,data/data_0/pi4_00185_16_5_20230816154808.jpg,4,p016_20230816,16,20230816,5,70,4_S7
c1_p016_20230921_o12,data/data_4/pi1_01164_16_12_20230921150721.jpg,1,p016_20230921,16,20230921,12,75,4_S7
c2_p016_20230921_o12,data/data_4/pi2_01164_16_12_20230921150707.jpg,2,p016_20230921,16,20230921,12,75,4_S7
c3_p016_20230921_o12,data/data_4/pi3_01164_16_12_20230921150653.jpg,3,p016_20230921,16,20230921,12,75,4_S7
c4_p016_20230921_o12,data/data_4/pi4_01164_16_12_20230921150615.jpg,4,p016_20230921,16,20230921,12,75,4_S7
c1_p016_20231005_o09,data/data_8/pi1_02133_16_9_20231005094812.jpg,1,p016_20231005,16,20231005,9,77,4_S7
c2_p016_20231005_o09,data/data_8/pi2_02133_16_9_20231005094827.jpg,2,p016_20231005,16,20231005,9,77,4_S7
c3_p016_20231005_o09,data/data_8/pi3_02133_16_9_20231005094840.jpg,3,p016_20231005,16,20231005,9,77,4_S7
c4_p016_20231005_o09,data/data_8/pi4_02133_16_9_20231005094856.jpg,4,p016_20231005,16,20231005,9,77,4_S7
c1_p017_20230816_o06,data/data_0/pi1_00198_17_6_20230816154734.jpg,1,p017_20230816,17,20230816,6,71,4_S7
c2_p017_20230816_o06,data/data_0/pi2_00198_17_6_20230816154750.jpg,2,p017_20230816,17,20230816,6,71,4_S7
c3_p017_20230816_o06,data/data_0/pi3_00198_17_6_20230816154800.jpg,3,p017_20230816,17,20230816,6,71,4_S7
c4_p017_20230816_o06,data/data_0/pi4_00198_17_6_20230816154808.jpg,4,p017_20230816,17,20230816,6,71,4_S7
c1_p017_20230921_o10,data/data_4/pi1_01174_17_10_20230921150721.jpg,1,p017_20230921,17,20230921,10,74,4_S7
c2_p017_20230921_o10,data/data_4/pi2_01174_17_10_20230921150707.jpg,2,p017_20230921,17,20230921,10,74,4_S7
c3_p017_20230921_o10,data/data_4/pi3_01174_17_10_20230921150653.jpg,3,p017_20230921,17,20230921,10,74,4_S7
c4_p017_20230921_o10,data/data_4/pi4_01174_17_10_20230921150615.jpg,4,p017_20230921,17,20230921,10,74,4_S7
c1_p017_20231005_o06,data/data_8/pi1_02142_17_6_20231005094812.jpg,1,p017_20231005,17,20231005,6,72,4_S7
c2_p017_20231005_o06,data/data_8/pi2_02142_17_6_20231005094827.jpg,2,p017_20231005,17,20231005,6,72,4_S7
c3_p017_20231005_o06,data/data_8/pi3_02142_17_6_20231005094840.jpg,3,p017_20231005,17,20231005,6,72,4_S7
c4_p017_20231005_o06,data/data_8/pi4_02142_17_6_20231005094856.jpg,4,p017_20231005,17,20231005,6,72,4_S7
c1_p018_20230816_o11,data/data_0/pi1_00215_18_11_20230816154734.jpg,1,p018_20230816,18,20230816,11,68,3_S6
c2_p018_20230816_o11,data/data_0/pi2_00215_18_11_20230816154750.jpg,2,p018_20230816,18,20230816,11,68,3_S6
c3_p018_20230816_o11,data/data_0/pi3_00215_18_11_20230816154800.jpg,3,p018_20230816,18,20230816,11,68,3_S6
c4_p018_20230816_o11,data/data_0/pi4_00215_18_11_20230816154808.jpg,4,p018_20230816,18,20230816,11,68,3_S6
c1_p018_20230921_o10,data/data_4/pi1_01186_18_10_20230921150721.jpg,1,p018_20230921,18,20230921,10,78,4_S7
c2_p018_20230921_o10,data/data_4/pi2_01186_18_10_20230921150707.jpg,2,p018_20230921,18,20230921,10,78,4_S7
c3_p018_20230921_o10,data/data_4/pi3_01186_18_10_20230921150653.jpg,3,p018_20230921,18,20230921,10,78,4_S7
c4_p018_20230921_o10,data/data_4/pi4_01186_18_10_20230921150615.jpg,4,p018_20230921,18,20230921,10,78,4_S7
c1_p018_20231005_o05,data/data_8/pi1_02153_18_5_20231005094812.jpg,1,p018_20231005,18,20231005,5,89,5_S8
c2_p018_20231005_o05,data/data_8/pi2_02153_18_5_20231005094827.jpg,2,p018_20231005,18,20231005,5,89,5_S8
c3_p018_20231005_o05,data/data_8/pi3_02153_18_5_20231005094840.jpg,3,p018_20231005,18,20231005,5,89,5_S8
c4_p018_20231005_o05,data/data_8/pi4_02153_18_5_20231005094856.jpg,4,p018_20231005,18,20231005,5,89,5_S8
c1_p019_20230816_o03,data/data_0/pi1_00219_19_3_20230816154734.jpg,1,p019_20230816,19,20230816,3,70,4_S7
