session,plant,fold,bbch,cls,p_0_S1,p_1_S2,p_2_S5,p_3_S6,p_4_S7,p_5_S8,pred,camera
p030_20231006,30,0,73,4_S7,0.0001249938979048425,0.0030585441674300003,0.004759373400695,0.097930506985,0.8848439050000001,0.0092826885215325,4_S7,fusion
p030_20231017,30,0,75,4_S7,5.271720346184999e-06,0.031565647681675,5.370638364675e-05,0.00063978141585,0.9654612575,0.00227437510825,4_S7,fusion
p030_20231023,30,0,76,4_S7,6.138010886301036e-06,0.002272930497040935,0.000994493308041312,0.00417466332124,0.989022715,0.003529079461586365,4_S7,fusion
p030_20231027,30,0,77,4_S7,1.4366869500004802e-05,0.002637422693766818,0.002605954250003836,0.00962897714043514,0.9429212124999999,0.04219206748888783,4_S7,fusion
p030_20231101,30,0,78,4_S7,2.51655881151e-05,0.00341868557385,0.002135181497075,0.007850775225925,0.7783124725,0.20825774835000002,4_S7,fusion
p030_20231106,30,0,79,4_S7,2.0910990594550003e-05,0.0012949916033775,0.001061871169625,0.008735006578095,0.944829515,0.0440576957225,4_S7,fusion
p030_20231109,30,0,79,4_S7,1.686634648965e-06,0.000884260310925,0.000139245732983,0.00034148675193075004,0.9884753625,0.01015792626,4_S7,fusion
p030_20231120,30,0,81,5_S8,6.210264711249999e-05,0.0019545512494999998,0.002774682484625,0.0012142016763250002,0.340128494595,0.6538659274999999,5_S8,fusion
p030_20231124,30,0,82,5_S8,0.0001436026565235,0.0063936155408275,0.0129295704145,0.0002031158900085,0.08991507668250001,0.8904150525000001,5_S8,fusion
p030_20231127,30,0,85,5_S8,1.129275083e-05,0.0005149122731975001,0.00114323330025,2.693029021425e-05,0.1812345965795,0.8170690525000001,5_S8,fusion
p030_20231130,30,0,87,5_S8,0.00025528144844,0.00046291945115,0.0011764338042499999,0.000171470799735,0.0005461357657500001,0.9973877425000001,5_S8,fusion
p035_20230828,35,0,14,0_S1,0.84352647,0.01170921545,0.135916321675,0.0068838102075,0.0009642243725000001,0.0009999478825,0_S1,fusion
p035_20230904,35,0,16,0_S1,0.08454614131625,0.0353308892,0.6008436375,0.21933573499999998,0.05677790253825,0.003165686793875,2_S5,fusion
p035_20230908,35,0,52,2_S5,0.06408746282149999,0.004863925275,0.09759888925,0.6872303500000001,0.145508726425,0.000710663445,3_S6,fusion
p035_20230921,35,0,52,2_S5,0.058708768635749996,0.047852615875,0.12204974005000001,0.6277795775,0.13684664467000002,0.006762673930512501,3_S6,fusion
p035_20231006,35,0,52,2_S5,0.01700932148606,0.12453172525,0.06819121308500001,0.216460447525,0.564470645,0.009336663185000002,4_S7,fusion
p035_20231017,35,0,52,2_S5,0.007883078192375001,0.068560329275,0.073342031375,0.180826211575,0.6603240075,0.009064350950000001,4_S7,fusion
p035_20231023,35,0,52,2_S5,0.0009120306867500001,0.0235655665,0.035320605775,0.1096715905,0.815965305,0.014564918100000001,4_S7,fusion
p035_20231027,35,0,52,2_S5,0.0006833095208500001,0.2973092625,0.024644179299,0.052181046625000005,0.6008322150000001,0.02435000695,4_S7,fusion
p035_20231101,35,0,52,2_S5,0.00018847521350000003,0.12246811020750001,0.01570353365925,0.039711989175,0.8161979575,0.0057299484,4_S7,fusion
p035_20231106,35,0,52,2_S5,0.0015352116819249998,0.0184836694175,0.02187169424,0.0581008329375,0.8963647299999999,0.0036438440124999995,4_S7,fusion
p035_20231109,35,0,52,2_S5,0.000489173166765,0.10083357975,0.0144933231211,0.06180874738,0.798811255,0.0235638972,4_S7,fusion
p035_20231120,35,0,52,2_S5,0.005472770757925,0.06805198825,0.0216566358675,0.033471350535000007,0.8068961325,0.06445112465000001,4_S7,fusion
p035_20231124,35,0,52,2_S5,0.0006878090500000001,0.046978167800000005,0.0248468228675,0.0070432372825,0.646972205,0.27347172,4_S7,fusion
p035_20231127,35,0,52,2_S5,0.001784121856825,0.021214882475,0.028960901900000002,0.019402571196,0.5545441025,0.37409342250000005,4_S7,fusion
p035_20231130,35,0,52,2_S5,0.005894343296925,0.0691429757575,0.09398523665,0.031084487957925,0.35107233149999995,0.44882066475,5_S8,fusion
p036_20230828,36,0,51,2_S5,0.8643966750000001,0.03522743925,0.0481826735,0.051148264375,0.000618993773,0.00042596176499999996,0_S1,fusion
p036_20230904,36,0,60,3_S6,0.17320811695000002,0.06437258729,0.415671233,0.323394666725,0.020683033563749998,0.002670366170585,2_S5,fusion
p036_20230908,36,0,63,3_S6,0.0034852954985,0.011767249025,0.0222928222825,0.9003666925,0.061365194815,0.00072267493749,3_S6,fusion
p036_20230921,36,0,70,4_S7,6.03548321225e-06,0.0006396256891749998,0.0005077902999999999,0.27582677375000003,0.7209299775,0.002089795292375,4_S7,fusion
p036_20231006,36,0,72,4_S7,0.005231563612556,0.024671097484999998,0.061297162380749996,0.332428661395,0.570578701,0.005792808135,4_S7,fusion
p036_20231017,36,0,73,4_S7,0.012873090787828095,0.0294599053145328,0.0585469694524475,0.1024851177929,0.7937205375,0.00291437174875,4_S7,fusion
p036_20231023,36,0,74,4_S7,0.00223368668466315,0.038809917142509996,0.056095687434325,0.287643768085,0.6079513425,0.007265563618,4_S7,fusion
p036_20231027,36,0,75,4_S7,0.0007310877424745,0.013066124882749998,0.0433045301565,0.149846513465,0.732667255,0.060384456655,4_S7,fusion
p036_20231101,36,0,76,4_S7,0.00389602061635,0.06155972725,0.0323571299025,0.08319279699999999,0.795028925,0.023965410175,4_S7,fusion
p036_20231106,36,0,77,4_S7,0.000243755445925,0.047796432282499995,0.0152316735725,0.0367296416725,0.8208754875,0.07912299249999999,4_S7,fusion
p036_20231109,36,0,78,4_S7,0.0024855184085799996,0.13124275459775,0.04604582090775,0.092674021535,0.643772225,0.08377964789999999,4_S7,fusion
p036_20231120,36,0,81,5_S8,0.03592790523575,0.022104930970000002,0.0425599371975,0.01175261521225,0.032223652325,0.8554310150000001,5_S8,fusion
p036_20231124,36,0,82,5_S8,0.00263850240265,0.011395394377500001,0.0169258987125,0.0073596124035375,0.020519033675,0.9411615125,5_S8,fusion
p036_20231127,36,0,83,5_S8,0.001473489491,0.0022082870125,0.0045250286499999995,0.027263221264,0.02248840791,0.9420415625,5_S8,fusion
p036_20231130,36,0,84,5_S8,0.0037210030773000002,0.0025897928555,0.007970465627500001,0.009317673492725,0.00463347755,0.971767575,5_S8,fusion
p054_20230929,54,0,13,0_S1,0.9998100025,3.3851400199999996e-05,0.0001091951575,2.621809325e-05,1.01124700625e-05,1.063440775e-05,0_S1,fusion
p054_20231004,54,0,13,0_S1,0.9915697725000001,0.00028222033,0.007690907316499999,8.759386425e-05,0.00010302699325,0.00026645194200000004,0_S1,fusion
p054_20231011,54,0,14,0_S1,0.9849362850000001,0.0024128858,0.006305045925,0.0031683079174999996,0.0026601742195,0.00051727065325,0_S1,fusion
p054_20231017,54,0,53,2_S5,0.681043928,0.026135763149999998,0.15434465,0.09580597382250002,0.0396143989,0.0030553238275,0_S1,fusion
p054_20231019,54,0,53,2_S5,0.4375975875,0.02829604499,0.45286489799999996,0.06715851087250001,0.01294436482175,0.00113856581975,2_S5,fusion
p054_20231023,54,0,60,3_S6,0.1413573545,0.045047391855,0.6903408849999999,0.08973606525,0.03134903085325,0.0021692888014999997,2_S5,fusion
p054_20231027,54,0,65,3_S6,0.0050175204535125,0.02015454544335,0.2121529056575,0.6140421875000001,0.14797131025,0.0006615240929250001,3_S6,fusion
p054_20231101,54,0,65,3_S6,0.0006907474345875,0.019930422393,0.101163446755,0.8412581175,0.03677689874,0.00018035989158749998,3_S6,fusion
p054_20231106,54,0,68,3_S6,0.00021422455025000002,0.00411204462525,0.023287590325,0.654940965,0.3165980405,0.0008471002572499999,3_S6,fusion
p054_20231109,54,0,70,4_S7,0.00047069373182125,0.004213062067775,0.025881153308,0.34072752847500004,0.627749305,0.0009582666095,4_S7,fusion
p054_20231120,54,0,71,4_S7,0.046437857513999994,0.011221306685,0.038813877861,0.08515648625000001,0.8058465524999999,0.01252391145,4_S7,fusion
p054_20231127,54,0,73,4_S7,8.456864881750001e-07,6.419149097465e-05,8.376677049650001e-05,0.016373079739325003,0.9831473825,0.00033072144375,4_S7,fusion
p054_20231130,54,0,75,4_S7,7.6662781355e-05,0.0008700392170249999,0.0013589089665,0.031545448909999996,0.9606289,0.0055200638400000005,4_S7,fusion
p054_20231204,54,0,78,4_S7,3.798479598850001e-05,0.00023510457957400002,0.00070646368246,0.019424589510097498,0.9776564349999999,0.0019394431009999997,4_S7,fusion
p054_20231211,54,0,79,4_S7,1.9255205967499996e-06,0.00028991712940000004,0.00018007382442500002,0.010756077761625,0.9875427675,0.0012293451725000001,4_S7,fusion
p054_20231214,54,0,79,4_S7,4.737375977375e-07,1.13195009467575e-05,2.09243625441625e-05,0.00026106278607274997,0.92212796,0.077578207315,4_S7,fusion
p054_20231218,54,0,79,4_S7,4.5190829174999996e-06,0.0004833443403125,0.0001002819301,0.0031226908325,0.9832755325,0.01301362844,4_S7,fusion
p054_20231227,54,0,79,4_S7,2.6169439074999998e-05,7.973034609999999e-05,0.000275297549425,0.00074364206545,0.68583213575,0.31304307675,4_S7,fusion
p054_20240104,54,0,82,5_S8,4.8090499396e-05,0.000101198609375,0.0004566679415,0.000543048997167,0.6235164698675,0.37533452,4_S7,fusion
p057_20230929,57,0,13,0_S1,0.99986072,2.7884016625e-05,7.7685794225e-05,1.89148643915e-05,7.459942942e-06,7.3578930499999995e-06,0_S1,fusion
p057_20231004,57,0,13,0_S1,0.998365225,0.000522289454,0.0008782236774999999,0.00014912425742499998,3.951549765e-05,4.5574971499999995e-05,0_S1,fusion
p057_20231011,57,0,21,1_S2,0.94162249,0.010251737325175,0.03778857482,0.009158257793875,0.000730959336675,0.000447979056935,0_S1,fusion
p057_20231017,57,0,60,3_S6,0.1315016099355,0.049521695122499994,0.7084121250000001,0.09670796975,0.012157628537200002,0.001698992466075,2_S5,fusion
p057_20231019,57,0,61,3_S6,0.01639646479825,0.045175945249999995,0.4293775425,0.494414605,0.01380502801,0.0008304308772,3_S6,fusion
p057_20231023,57,0,64,3_S6,0.0034836841283733145,0.03609350371048725,0.11336606326375,0.8155574925,0.03089547590095,0.000603759371686385,3_S6,fusion
p057_20231027,57,0,65,3_S6,0.00022642844722999998,0.01905102259,0.020740275824999998,0.7798532375,0.17788132,0.0022477754720500003,3_S6,fusion
p057_20231101,57,0,67,3_S6,0.000384014181675,0.0075776446225,0.223712743675,0.555599555,0.2124027386175,0.000323273462505,3_S6,fusion
p057_20231106,57,0,70,4_S7,1.85599223925e-06,0.0010549075712499999,0.002586304437925,0.8524482675,0.14375642724999999,0.00015224725349999998,3_S6,fusion
p057_20231109,57,0,71,4_S7,1.4518624958597499e-05,0.001440212006,0.0030672522732825,0.272771764875,0.7159826450000001,0.0067236202039,4_S7,fusion
p057_20231120,57,0,73,4_S7,0.000300614520624075,0.0041746916599075005,0.00619142996625,0.09539097896000001,0.8683263625,0.02561596067365,4_S7,fusion
p057_20231127,57,0,75,4_S7,1.36692637595e-06,5.0416551355000006e-05,0.00021800525808999998,0.07154406965773,0.92199509,0.00619102919175,4_S7,fusion
p057_20231130,57,0,77,4_S7,4.813150755750001e-05,0.002217293568825,0.0009384875225,0.0156559683775,0.90050272,0.0806374636,4_S7,fusion
p057_20231204,57,0,78,4_S7,8.871442270685e-06,0.0001209493042412,0.00029677201205109997,0.02262728858191815,0.9736253275,0.0033208064128499998,4_S7,fusion
p057_20231211,57,0,79,4_S7,2.1721192640094998e-05,0.004103440748032825,0.0009740740693375,0.001297582808965,0.9209389799999999,0.07266419000025,4_S7,fusion
p057_20231214,57,0,79,4_S7,4.735633120075e-06,6.516833568e-06,1.39796850825e-05,7.068820125000001e-05,0.9592352675,0.0406687577375,4_S7,fusion
p057_20231218,57,0,79,4_S7,2.38611541425e-05,4.4430909112499995e-05,0.0002406252915,0.0008866837281249999,0.793105975,0.20569843375000002,4_S7,fusion
p057_20231227,57,0,80,5_S8,8.71752425e-07,3.5415372249999995e-05,0.000102903112275,9.064791692499999e-05,0.333898253,0.665871925,5_S8,fusion
p057_20240104,57,0,83,5_S8,5.3595404409599996e-05,0.0003591380858675,0.000190259368375,0.00077554645229525,0.420852054315,0.5777694195,5_S8,fusion
p066_20231006,66,0,13,0_S1,0.9995057,7.183628015e-05,0.000242399445475,7.374496255e-05,3.4746563375e-05,7.1561463325e-05,0_S1,fusion
p066_20231011,66,0,13,0_S1,0.9987496375,6.938853825e-05,0.0004972517773750001,5.6805961075e-05,0.000522140286875,0.00010475981312500001,0_S1,fusion
p066_20231017,66,0,13,0_S1,0.999630275,0.00010096962475,0.00016086630175,5.690726742500001e-05,2.1020841875000002e-05,2.99494772e-05,0_S1,fusion
p066_20231019,66,0,13,0_S1,0.9938936225,0.0012167686818,0.0039178422575,0.000625723197775,0.0002291240885375,0.000116941369925,0_S1,fusion
p066_20231023,66,0,13,0_S1,0.997459635,0.00087616168,0.0013618975475000001,0.000220972929,5.251508485e-05,2.876840775e-05,0_S1,fusion
p066_20231027,66,0,14,0_S1,0.4893593475,0.0284032049,0.43932818500000004,0.03836752255,0.0036420786784749997,0.000899670149325,0_S1,fusion
p066_20231101,66,0,53,2_S5,0.066259837,0.027615384499999996,0.8079987925,0.0924024871,0.005255491797462501,0.00046802270958999994,2_S5,fusion
p066_20231106,66,0,60,3_S6,0.00032647005510627505,0.00598934614505,0.054668722924999996,0.9336874525000001,0.005279600626275,4.8398348499999996e-05,3_S6,fusion
p066_20231109,66,0,65,3_S6,0.00102255757681545,0.007512264699425,0.04394303598325001,0.918690505,0.02860008642,0.00023155741178350003,3_S6,fusion
p066_20231120,66,0,67,3_S6,2.7220050787142524e-05,0.00173081779618845,0.00375499821661,0.4777446823,0.516528540205495,0.000213758788285241,4_S7,fusion
p066_20231127,66,0,70,4_S7,5.0814322642499996e-06,0.0010735771594525,0.0011577494297,0.020234188039999997,0.97569625,0.0018331825222599998,4_S7,fusion
p066_20231130,66,0,71,4_S7,1.6293194919e-05,0.001683876754,0.0021793046913499998,0.13699849585,0.858381685,0.000740386709,4_S7,fusion
p066_20231204,66,0,73,4_S7,3.284922906025e-06,0.0001892182523575,0.00037548760822499997,0.019240814520249998,0.9799422625,0.0002489527886325,4_S7,fusion
p066_20231211,66,0,75,4_S7,5.980067225e-07,5.20042295e-05,0.00015837409832500002,0.00409937080325,0.9917701750000001,0.0039194501125,4_S7,fusion
p066_20231214,66,0,78,4_S7,7.782001665e-07,4.016614335000001e-06,3.303833532e-05,0.002100151036725,0.99471256,0.00314945170325,4_S7,fusion
p066_20231218,66,0,79,4_S7,7.6484981885e-06,0.000181143879375,0.0003437088625,0.007507486395,0.9816176375,0.010342358732500001,4_S7,fusion
p066_20231227,66,0,80,5_S8,4.95368112925e-05,0.0003930192185,0.00069286776575,0.00406460950325,0.8287781475,0.1660218165,4_S7,fusion
p066_20240115,66,0,82,5_S8,8.52311027475e-06,4.55871502675e-05,0.000117769871104,3.0339892546749998e-05,0.0016097267247500002,0.9981880825,5_S8,fusion
p066_20240119,66,0,82,5_S8,6.4956822565000005e-06,5.222026284999999e-06,1.4691474537499999e-05,2.5212081603499996e-06,0.000450081775,0.9995209949999999,5_S8,fusion
p066_20240126,66,0,84,5_S8,3.30980247769605e-05,3.3076042138375003e-05,9.3803988039475e-05,8.51747235212375e-05,0.006165401120949999,0.99358946,5_S8,fusion
p069_20231006,69,0,13,0_S1,0.9994686625,6.0758361275e-05,0.00023435418127500002,0.00013284082943,3.5904983399999996e-05,6.7465529225e-05,0_S1,fusion
p069_20231011,69,0,13,0_S1,0.99960688,3.416750945e-05,0.000156823557375,3.1183804435e-05,0.000141124616475,2.9817210424999998e-05,0_S1,fusion
p069_20231017,69,0,13,0_S1,0.999169915,0.0001727037841,0.00047695463874999997,0.00012777182470749998,2.8090579728999998e-05,2.4592772450000002e-05,0_S1,fusion
p069_20231019,69,0,14,0_S1,0.9801696950000001,0.003337789709775,0.01310990486575,0.002389626757415,0.0007233660508559999,0.000269632645675,0_S1,fusion
p069_20231023,69,0,14,0_S1,0.976537215,0.0070497428925000005,0.013966229325000001,0.0018889234399999998,0.000353811238175,0.00020414635350000002,0_S1,fusion
p069_20231027,69,0,15,0_S1,0.027492903750000002,0.031814368825,0.8162394275,0.11974824214999999,0.004360192047499999,0.00034484508100000004,2_S5,fusion
p069_20231101,69,0,53,2_S5,0.011659056463249998,0.02194641805,0.6975980325000001,0.2566913725,0.01169772386825,0.0004073919455175,2_S5,fusion
p069_20231106,69,0,61,3_S6,5.8802559377000005e-05,0.0019690542904,0.016104225239749997,0.97772319,0.004123115371750001,2.161434176e-05,3_S6,fusion
p069_20231109,69,0,66,3_S6,0.00018647887389726202,0.023213557663925,0.025304622228500002,0.9047394000000001,0.04600175342499999,0.0005541569120260001,3_S6,fusion
p069_20231120,69,0,70,4_S7,0.0059557490413235,0.02180356743095,0.05474492851650001,0.5444746925,0.36712015075000004,0.005900911292,3_S6,fusion
p069_20231127,69,0,72,4_S7,1.55422934075e-05,0.00028509731525,0.00037049806,0.0863981215,0.91143302,0.0014976995124999998,4_S7,fusion
p069_20231130,69,0,73,4_S7,0.00033391846434,0.00468502217675,0.0103132991075,0.100894298115,0.8300132075,0.053760250875,4_S7,fusion
p069_20231204,69,0,74,4_S7,0.0002290532025,0.0018575296400000002,0.00458267081,0.0652691205,0.9236224599999999,0.004439149704999999,4_S7,fusion
p069_20231211,69,0,76,4_S7,6.043026905e-06,0.000110387124,0.00022343349900000003,0.0031588056675,0.8387938425,0.15770747765,4_S7,fusion
p069_20231214,69,0,77,4_S7,0.000395476700562625,9.7417545808675e-05,0.0005463409192936249,0.0016640860282925002,0.99333175,0.003964973637675,4_S7,fusion
p069_20231218,69,0,78,4_S7,0.00036116073465325,0.000224448771094975,0.0036534878949,0.001885646676665,0.965475685,0.02839954845,4_S7,fusion
p069_20231227,69,0,79,4_S7,2.8380096152375002e-05,1.6452373663075e-05,3.8948713195e-05,3.34550966725e-05,0.8776972650000001,0.12218548597125001,4_S7,fusion
p069_20240115,69,0,82,5_S8,0.000473599298665,0.0004308678295,0.003950869750425,0.00021624042527,0.08828069944999999,0.9066477549999999,5_S8,fusion
p069_20240119,69,0,82,5_S8,0.0061508536991999995,0.001409039614205,0.0029255386375000004,0.0005013683834275,0.0201136727775,0.9688995149999999,5_S8,fusion
p069_20240126,69,0,84,5_S8,0.000450369043385,0.00022111244663,0.00039322530517500005,0.0001825391696635,0.010978685216249999,0.9877741,5_S8,fusion
p070_20231006,70,0,13,0_S1,0.99956885,8.611927835e-05,0.0001999256903,0.00011278319557749999,1.61665734925e-05,1.61355683e-05,0_S1,fusion
p070_20231011,70,0,13,0_S1,0.9993810599999999,4.1463958e-05,0.00031312256155,4.1832507924999994e-05,0.000176123778275,4.6391371775000003e-05,0_S1,fusion
p070_20231017,70,0,13,0_S1,0.9993879999999999,0.00012679765749999997,0.000343613872,0.0001027742982625,1.7679021335e-05,2.11666575e-05,0_S1,fusion
p070_20231019,70,0,14,0_S1,0.9692377,0.0046273538125,0.0201205526,0.0035359846223750003,0.001814599839,0.0006638041547500001,0_S1,fusion
p070_20231023,70,0,14,0_S1,0.978643785,0.004475421295,0.01322127318,0.0029998570269999998,0.0004311399223725,0.00022845883949999997,0_S1,fusion
p070_20231027,70,0,21,1_S2,0.1483077615,0.032505903125,0.7000389175,0.113998227745,0.004616176475015,0.0005330181745099999,2_S5,fusion
p070_20231101,70,0,60,3_S6,0.009018466747249999,0.013316035422499999,0.44988534925,0.52299124155,0.0046633379840000004,0.0001255663324255,3_S6,fusion
p070_20231106,70,0,62,3_S6,3.0935619708645e-05,0.00278490342485,0.011940998868475002,0.9795488475,0.00567568005975,1.862571950485e-05,3_S6,fusion
p070_20231109,70,0,65,3_S6,0.0005534466778725001,0.008665133641999999,0.0436257635705,0.7448871825000001,0.20157918300000002,0.0006893032167175,3_S6,fusion
p070_20231120,70,0,70,4_S7,5.5477667845e-05,0.0024656912175,0.006921410386249999,0.47158350057500004,0.5177044752500001,0.0012694527777999999,4_S7,fusion
p070_20231127,70,0,71,4_S7,1.4012278234575e-05,0.0006296063197125001,0.001142088053045,0.018880282421,0.97854379,0.0007901686227249999,4_S7,fusion
p070_20231130,70,0,73,4_S7,0.00011318499000000001,0.0016501049249999999,0.002403748875,0.024416327994575,0.9559718924999999,0.0154446835325,4_S7,fusion
p070_20231204,70,0,75,4_S7,7.3580624249999994e-06,0.0002689716555,0.00040555129,0.031899862625,0.96551424,0.0019040396299999998,4_S7,fusion
p070_20231211,70,0,76,4_S7,1.5641247405175e-06,0.00022043108695750003,0.00011368264232,0.00042787236040000003,0.9851890950000001,0.0140473663801975,4_S7,fusion
p070_20231214,70,0,77,4_S7,1.5100466139500002e-05,2.8655346287175e-05,0.000371296749557275,7.622663150000001e-05,0.950042175,0.04946655275568251,4_S7,fusion
p070_20231218,70,0,78,4_S7,0.00014692390630775,0.0013641912127,0.0017053016363375,0.0058755151707500005,0.9090161125,0.0818919389,4_S7,fusion
p070_20231227,70,0,79,4_S7,1.46777408263e-05,0.0002069648634065,0.00024453122338,0.000761106703575,0.8839615875,0.114811109,4_S7,fusion
p070_20240115,70,0,83,5_S8,1.7734169325e-05,0.00023411541634999999,0.0003267509275,5.14659663625e-05,0.013402930007500001,0.9859669600000001,5_S8,fusion
p070_20240119,70,0,84,5_S8,2.42620210715e-05,3.767890715e-05,4.799072400000001e-05,1.4773567725e-05,0.0046327143050000005,0.9952425425,5_S8,fusion
p070_20240126,70,0,88,5_S8,8.09484687675e-05,4.93763391925e-06,9.657460325e-06,7.971797201500001e-07,0.000812568065,0.99909115,5_S8,fusion
p075_20231006,75,0,13,0_S1,0.9995670000000001,6.1212423575e-05,0.000247217488225,6.50690188e-05,1.68193174e-05,4.26739315e-05,0_S1,fusion
p075_20231011,75,0,13,0_S1,0.9998676274999999,2.656476125e-05,5.780707075e-05,1.81282491e-05,1.2678854137499999e-05,1.7155369624999998e-05,0_S1,fusion
